,stock,symbol
147,Emami Ltd.,EMAMIREAL.NS
148,Emcure Pharmaceuticals Ltd.,EMCURE.NS
149,Endurance Technologies Ltd.,ENDURANCE.NS
150,Engineers India Ltd.,ENGINERSIN.NS
151,Eris Lifesciences Ltd.,ERIS.NS
152,Escorts Kubota Ltd.,ESCORTS.NS
153,Exide Industries Ltd.,EXIDEIND.NS
154,FSN E-Commerce Ventures Ltd.,NYKAA.NS
155,Federal Bank Ltd.,FEDERALBNK.NS
156,Fertilisers and Chemicals Travancore Ltd.,FACT.NS
157,Finolex Cables Ltd.,FINCABLES.NS
158,Finolex Industries Ltd.,FINPIPE.NS
159,Firstsource Solutions Ltd.,FSL.NS
160,Five-Star Business Finance Ltd.,FIVESTAR.NS
161,Fortis Healthcare Ltd.,FORTIS.NS
162,GAIL (India) Ltd.,GAIL.NS
163,GE Vernova T&D India Ltd.,GVT&D.NS
164,GMR Airports Ltd.,GMRAIRPORT.NS
165,Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS
166,General Insurance Corporation of India,GICRE.NS
167,Gillette India Ltd.,GILLETTE.NS
168,Gland Pharma Ltd.,GLAND.NS
169,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS
170,Glenmark Pharmaceuticals Ltd.,GLENMARK.NS
171,Global Health Ltd.,MEDANTA.NS
172,Go Digit General Insurance Ltd.,GODIGIT.NS
173,Godawari Power & Ispat Ltd.,GPIL.NS
174,Godfrey Phillips India Ltd.,GODFRYPHLP.NS
175,Godrej Agrovet Ltd.,GODREJAGRO.NS
176,Godrej Consumer Products Ltd.,GODREJCP.NS
177,Godrej Industries Ltd.,GODREJIND.NS
178,Godrej Properties Ltd.,GODREJPROP.NS
179,Granules India Ltd.,GRANULES.NS
180,Graphite India Ltd.,GRAPHITE.NS
181,Grasim Industries Ltd.,GRASIM.NS
182,Gravita India Ltd.,GRAVITA.NS
183,Great Eastern Shipping Co. Ltd.,GESHIP.NS
184,Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS
185,Gujarat Gas Ltd.,GUJGASLTD.NS
186,Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS
187,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC.NS
188,Gujarat Pipavav Port Ltd.,GPPL.NS
189,Gujarat State Petronet Ltd.,GSPL.NS
190,H.E.G. Ltd.,HEG.NS
191,HBL Engineering Ltd.,HBLENGINE.NS
192,HCL Technologies Ltd.,HCLTECH.NS
193,HDFC Asset Management Company Ltd.,HDFCAMC.NS
194,HDFC Bank Ltd.,HDFCBANK.NS
195,HDFC Life Insurance Company Ltd.,HDFCLIFE.NS
196,HFCL Ltd.,HFCL.NS
197,Happiest Minds Technologies Ltd.,HAPPSTMNDS.NS
198,Havells India Ltd.,HAVELLS.NS
199,Hero MotoCorp Ltd.,HEROMOTOCO.NS
200,Himadri Speciality Chemical Ltd.,HSCL.NS
201,Hindalco Industries Ltd.,HINDALCO.NS
202,Hindustan Aeronautics Ltd.,HAL.NS
203,Hindustan Copper Ltd.,HINDCOPPER.NS
204,Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS
205,Hindustan Unilever Ltd.,HINDUNILVR.NS
206,Hindustan Zinc Ltd.,HINDZINC.NS
207,Hitachi Energy India Ltd.,POWERINDIA.NS
208,Home First Finance Company India Ltd.,HOMEFIRST.NS
209,Honasa Consumer Ltd.,HONASA.NS
210,Honeywell Automation India Ltd.,HONAUT.NS
211,Housing & Urban Development Corporation Ltd.,HUDCO.NS
212,Hyundai Motor India Ltd.,HYUNDAI.NS
213,ICICI Bank Ltd.,ICICIBANK.NS
214,ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS
215,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS
216,IDBI Bank Ltd.,IDBI.NS
217,IDFC First Bank Ltd.,IDFCFIRSTB.NS
218,IFCI Ltd.,IFCI.NS
219,IIFL Finance Ltd.,IIFL.NS
220,INOX India Ltd.,INOXINDIA.NS
221,IRB Infrastructure Developers Ltd.,IRB.NS
222,IRCON International Ltd.,IRCON.NS
223,ITC Ltd.,ITC.NS
224,ITI Ltd.,ITI.NS
225,Indegene Ltd.,INDGN.NS
226,India Cements Ltd.,INDIACEM.NS
227,Indiamart Intermesh Ltd.,INDIAMART.NS
228,Indian Bank,INDIANB.NS
229,Indian Energy Exchange Ltd.,IEX.NS
230,Indian Hotels Co. Ltd.,INDHOTEL.NS
231,Indian Oil Corporation Ltd.,IOC.NS
232,Indian Overseas Bank,IOB.NS
233,Indian Railway Catering And Tourism Corporation Ltd.,IRCTC.NS
234,Indian Railway Finance Corporation Ltd.,IRFC.NS
235,Indian Renewable Energy Development Agency Ltd.,IREDA.NS
236,Indraprastha Gas Ltd.,IGL.NS
237,Indus Towers Ltd.,INDUSTOWER.NS
238,IndusInd Bank Ltd.,INDUSINDBK.NS
239,Info Edge (India) Ltd.,NAUKRI.NS
240,Infosys Ltd.,INFY.NS
241,Inox Wind Ltd.,INOXWIND.NS
242,Intellect Design Arena Ltd.,INTELLECT.NS
243,InterGlobe Aviation Ltd.,INDIGO.NS
244,International Gemmological Institute (India) Ltd.,IGIL.NS
245,Inventurus Knowledge Solutions Ltd.,IKS.NS
246,Ipca Laboratories Ltd.,IPCALAB.NS
247,J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.NS
248,J.K. Cement Ltd.,JKCEMENT.NS
249,JBM Auto Ltd.,JBMA.NS
250,JK Tyre & Industries Ltd.,JKTYRE.NS
251,JM Financial Ltd.,JMFINANCIL.NS
